PyTree Path (Depth 3)                                             | Kept   | Pruned | Common Kept Types
energy_nodes['network.line.engine.burner'].areas.reference        | 1      | 0      | float
energy_nodes['network.line.engine.burner'].areas.side_projected   | 1      | 0      | float
energy_nodes['network.line.engine.burner'].areas.top_projected    | 1      | 0      | float
energy_nodes['network.line.engine.burner'].areas.total            | 1      | 0      | float
energy_nodes['network.line.engine.burner'].areas.wetted           | 1      | 0      | float
energy_nodes['network.line.engine.burner'].design_parameters.A_exit | 1      | 0      | float
energy_nodes['network.line.engine.burner'].design_parameters.A_intake | 1      | 0      | float
energy_nodes['network.line.engine.burner'].design_parameters.A_throat | 1      | 0      | float
energy_nodes['network.line.engine.burner'].design_parameters.eff  | 6      | 0      | float
energy_nodes['network.line.engine.burner'].design_parameters.exit_mach_number | 1      | 0      | float
energy_nodes['network.line.engine.burner'].design_parameters.intake_temperature | 1      | 0      | float
energy_nodes['network.line.engine.burner'].design_parameters.noise_speed | 1      | 0      | float
energy_nodes['network.line.engine.burner'].design_parameters.output_temperature | 1      | 0      | float
energy_nodes['network.line.engine.burner'].design_parameters.pressure_ratio | 1      | 0      | float
energy_nodes['network.line.engine.burner'].design_parameters.pressure_recovery | 1      | 0      | float
energy_nodes['network.line.engine.burner'].design_parameters.rotation_speed | 1      | 0      | float
energy_nodes['network.line.engine.burner'].diameters.effective    | 1      | 0      | float
energy_nodes['network.line.engine.burner'].diameters.front_projected | 1      | 0      | float
energy_nodes['network.line.engine.burner'].diameters.maximum      | 1      | 0      | float
energy_nodes['network.line.engine.burner'].diameters.projected    | 1      | 0      | float
energy_nodes['network.line.engine.burner'].diameters.reference    | 1      | 0      | float
energy_nodes['network.line.engine.burner'].diameters.side_projected | 1      | 0      | float
energy_nodes['network.line.engine.burner'].diameters.top_projected | 1      | 0      | float
energy_nodes['network.line.engine.burner'].diameters.total        | 1      | 0      | float
energy_nodes['network.line.engine.burner'].heights.effective      | 1      | 0      | float
energy_nodes['network.line.engine.burner'].heights.front_projected | 1      | 0      | float
energy_nodes['network.line.engine.burner'].heights.maximum        | 1      | 0      | float
energy_nodes['network.line.engine.burner'].heights.projected      | 1      | 0      | float
energy_nodes['network.line.engine.burner'].heights.reference      | 1      | 0      | float
energy_nodes['network.line.engine.burner'].heights.side_projected | 1      | 0      | float
energy_nodes['network.line.engine.burner'].heights.top_projected  | 1      | 0      | float
energy_nodes['network.line.engine.burner'].heights.total          | 1      | 0      | float
energy_nodes['network.line.engine.burner'].lengths.effective      | 1      | 0      | float
energy_nodes['network.line.engine.burner'].lengths.front_projected | 1      | 0      | float
energy_nodes['network.line.engine.burner'].lengths.maximum        | 1      | 0      | float
energy_nodes['network.line.engine.burner'].lengths.projected      | 1      | 0      | float
energy_nodes['network.line.engine.burner'].lengths.reference      | 1      | 0      | float
energy_nodes['network.line.engine.burner'].lengths.side_projected | 1      | 0      | float
energy_nodes['network.line.engine.burner'].lengths.top_projected  | 1      | 0      | float
energy_nodes['network.line.engine.burner'].lengths.total          | 1      | 0      | float
